#
#            Case A.S1       Station= 12
#            X= 457.2 mm      Tunnel Run#= 643   Ue/Uref=   0.990      Date= 428.88  Time=16.31
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
17  4.32  0.772  0.006  0.072   5.36   2.09   3.44  -1.29   0.14  -0.01  -0.47 -0.12 -0.04  0.28  0.13  0.15 -0.08 -0.03  0.06  0.05
18  4.83  0.778  0.008  0.072   5.38   2.11   3.46  -1.28   0.15  -0.08  -0.58 -0.12  0.02  0.26  0.12  0.13 -0.01 -0.03 -0.08  0.06
19  5.59  0.793  0.008  0.073   5.03   2.10   3.42  -1.22   0.14  -0.09  -0.64 -0.14 -0.01  0.29  0.06  0.12 -0.06  0.00 -0.08  0.00
20  6.35  0.807  0.011  0.077   4.94   2.12   3.33  -1.26   0.26  -0.12  -0.61 -0.08  0.02  0.26  0.08  0.10 -0.05 -0.07 -0.08  0.09
21  7.11  0.818  0.009  0.076   4.55   2.12   3.22  -1.19   0.26  -0.13  -0.51 -0.17  0.04  0.29  0.18  0.10 -0.05 -0.02 -0.01  0.06
22  8.38  0.833  0.011  0.075   4.11   2.14   3.26  -1.08   0.29  -0.16  -0.36 -0.10 -0.02  0.20  0.14  0.11 -0.03 -0.01 -0.08  0.03
23 10.16  0.856  0.009  0.074   3.94   2.12   3.13  -1.04   0.36  -0.15  -0.36 -0.09 -0.10  0.18  0.11  0.12 -0.05  0.01 -0.15  0.04
24 12.70  0.881  0.010  0.067   3.44   2.09   3.10  -0.90   0.44  -0.32  -0.37 -0.08 -0.03  0.17  0.16  0.10  0.00 -0.04 -0.02  0.06
25 15.24  0.894  0.013  0.068   3.17   2.11   2.86  -0.93   0.52  -0.32  -0.27 -0.05 -0.06  0.13  0.13  0.07  0.03  0.07 -0.01  0.01
26 17.78  0.915  0.009  0.060   2.85   2.01   2.90  -0.82   0.59  -0.38  -0.29 -0.12 -0.14  0.13  0.22  0.15  0.04  0.09  0.24  0.00
27 20.32  0.927  0.011  0.055   2.64   2.01   2.79  -0.84   0.73  -0.46  -0.45 -0.23 -0.11  0.21  0.35  0.19  0.09  0.17  0.35 -0.06
28 22.86  0.941  0.011  0.048   2.53   1.91   2.52  -0.81   0.66  -0.48  -0.52 -0.21 -0.18  0.22  0.34  0.21  0.10  0.20  0.44 -0.06
29 25.40  0.952  0.011  0.040   2.31   1.79   2.39  -0.74   0.69  -0.58  -0.63 -0.29 -0.23  0.28  0.45  0.28  0.24  0.27  0.60 -0.12
30 27.94  0.963  0.010  0.032   2.02   1.55   2.05  -0.64   0.60  -0.52  -0.68 -0.29 -0.26  0.30  0.46  0.31  0.26  0.29  0.64 -0.14
31 30.48  0.972  0.010  0.025   1.71   1.37   1.77  -0.55   0.51  -0.49  -0.68 -0.29 -0.29  0.28  0.44  0.31  0.27  0.28  0.76 -0.12
32 33.02  0.976  0.013  0.022   1.68   1.41   1.74  -0.56   0.50  -0.47  -0.69 -0.28 -0.29  0.30  0.48  0.30  0.28  0.28  0.74 -0.12
33 35.56  0.986  0.012  0.014   1.20   1.07   1.28  -0.40   0.39  -0.37  -0.59 -0.26 -0.26  0.30  0.43  0.29  0.28  0.25  0.66 -0.11
34 38.10  0.993  0.011  0.007   0.83   0.87   0.88  -0.27   0.24  -0.19  -0.38 -0.19 -0.16  0.19  0.33  0.20  0.16  0.19  0.40 -0.08
35 40.64  0.997  0.011  0.005   0.57   0.67   0.63  -0.19   0.18  -0.15  -0.23 -0.12 -0.11  0.14  0.25  0.15  0.11  0.13  0.28 -0.05
36 45.72  1.000  0.011  0.000   0.24   0.37   0.29  -0.07   0.07  -0.05  -0.06 -0.05 -0.03  0.06  0.16  0.07  0.03  0.06  0.07 -0.02
37 50.80  1.003  0.009 -0.001   0.09   0.14   0.13  -0.01   0.00  -0.02   0.00  0.00  0.00  0.01  0.02  0.01  0.00  0.01  0.01  0.00
