#
#            Case A.S1       Station=  2
#            X= -152.4 mm      Tunnel Run#= 633   Ue/Uref=   0.996      Date= 427.88  Time=12.09
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
18  4.83  0.796  0.007  0.139   8.12   4.57   8.64  -2.37   2.35  -3.20  -1.63 -0.79 -1.27  0.75  1.03  1.35  1.23  1.00  2.60 -0.66
19  5.59  0.808  0.008  0.130   7.59   4.77   8.10  -2.25   2.35  -2.60  -1.29 -0.83 -0.84  0.83  1.13  1.38  0.78  1.06  2.45 -0.65
20  6.35  0.816  0.009  0.122   7.39   4.52   7.52  -2.25   2.16  -2.53  -1.49 -0.63 -0.85  0.76  0.95  0.99  0.86  0.76  1.83 -0.45
21  7.11  0.828  0.010  0.118   7.16   4.56   7.26  -2.30   2.14  -2.40  -1.78 -0.85 -0.89  0.83  1.13  1.09  0.87  0.92  1.94 -0.63
22  8.38  0.841  0.009  0.107   6.53   4.37   6.84  -2.09   2.09  -2.16  -1.49 -0.72 -0.82  0.72  1.15  0.85  0.93  0.78  1.48 -0.50
23 10.16  0.869  0.011  0.091   6.03   3.86   6.22  -1.86   1.72  -1.74  -1.50 -0.66 -0.74  0.65  1.01  0.80  0.69  0.69  1.57 -0.36
24 12.70  0.897  0.013  0.070   5.29   3.25   5.32  -1.63   1.59  -1.70  -2.05 -0.74 -0.92  0.87  0.93  0.91  1.06  0.72  1.87 -0.53
25 15.24  0.931  0.014  0.047   4.26   2.76   4.27  -1.33   1.24  -1.45  -2.08 -0.78 -1.03  0.82  1.01  0.83  0.88  0.72  2.15 -0.44
26 17.78  0.961  0.011  0.021   2.74   1.80   2.65  -0.81   0.75  -0.96  -1.81 -0.64 -0.85  0.67  0.81  0.71  0.73  0.54  1.72 -0.36
27 20.32  0.981  0.010  0.006   1.52   1.22   1.45  -0.43   0.43  -0.50  -1.15 -0.41 -0.44  0.42  0.55  0.44  0.49  0.39  1.00 -0.22
28 22.86  0.990  0.011 -0.003   0.71   0.75   0.64  -0.24   0.17  -0.20  -0.48 -0.21 -0.20  0.26  0.40  0.20  0.23  0.16  0.31 -0.10
29 25.40  0.999  0.009  0.001   0.32   0.40   0.32  -0.07   0.05  -0.05  -0.18 -0.08 -0.03  0.11  0.17  0.06  0.06  0.05  0.09 -0.03
30 27.94  1.000  0.011 -0.007   0.11   0.21   0.17  -0.01   0.02  -0.03   0.00 -0.01  0.00  0.01  0.06  0.02  0.00  0.01  0.01  0.00
31 38.10  0.998  0.013 -0.006   0.06   0.08   0.11   0.00   0.00  -0.01   0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.00
32 50.80  1.003  0.014 -0.005   0.05   0.07   0.10   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.00
