#
#            Case A.S1       Station=  5
#            X=  12.7 mm      Tunnel Run#= 636   Ue/Uref=   0.998      Date= 428.88  Time= 9.06
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
13  2.54  0.750  0.009  0.170   9.55   4.06  10.60  -2.06   2.39  -3.88  -1.47 -0.57 -1.51  0.94  0.66  1.20  1.22  0.82  2.67 -0.56
14  2.79  0.760  0.008  0.163   9.59   4.17  10.43  -2.14   2.36  -3.99  -1.56 -0.69 -1.57  1.01  0.82  1.49  1.61  0.96  2.81 -0.67
15  3.30  0.769  0.011  0.154   9.26   4.24  10.06  -2.25   2.49  -3.84  -1.88 -0.70 -1.37  1.08  0.91  1.51  1.55  1.08  2.92 -0.78
16  3.81  0.778  0.010  0.147   8.83   4.35   9.37  -2.28   2.41  -3.44  -2.35 -0.96 -1.47  1.27  0.99  1.53  1.57  1.02  2.78 -0.84
17  4.32  0.787  0.012  0.142   8.71   4.61   9.26  -2.42   2.63  -3.53  -1.59 -0.81 -1.58  1.19  1.05  1.56  1.36  1.16  2.82 -0.86
18  4.83  0.795  0.011  0.136   8.44   4.58   8.89  -2.36   2.52  -3.37  -1.99 -0.83 -1.28  1.03  0.92  1.52  1.39  1.10  2.44 -0.89
19  5.59  0.804  0.012  0.129   7.90   4.68   7.91  -2.39   2.41  -2.86  -1.97 -0.85 -0.98  0.99  1.13  1.25  0.96  1.01  2.32 -0.61
20  6.35  0.810  0.013  0.124   7.71   4.63   7.99  -2.32   2.22  -2.79  -1.74 -0.77 -0.99  0.78  1.04  1.12  0.95  0.87  2.15 -0.56
21  7.11  0.820  0.014  0.118   7.49   4.61   7.47  -2.28   2.30  -2.56  -1.76 -0.53 -0.61  0.73  0.94  0.86  0.84  0.74  1.51 -0.41
22  8.38  0.836  0.013  0.110   6.77   4.58   6.95  -2.17   2.13  -2.15  -1.46 -0.63 -0.62  0.80  0.82  0.89  0.71  0.76  1.50 -0.46
23 10.16  0.853  0.014  0.102   6.35   4.32   6.54  -2.05   2.11  -1.85  -1.48 -0.61 -0.51  0.73  0.92  0.71  0.71  0.66  1.29 -0.38
24 12.70  0.878  0.016  0.086   5.90   3.87   5.90  -1.89   1.83  -1.73  -1.56 -0.65 -0.59  0.72  0.90  0.70  0.72  0.66  1.50 -0.43
25 15.24  0.899  0.017  0.070   5.17   3.52   5.09  -1.63   1.62  -1.47  -1.70 -0.68 -0.70  0.68  1.05  0.72  0.64  0.65  1.50 -0.32
26 17.78  0.928  0.015  0.048   4.56   2.91   4.47  -1.48   1.40  -1.39  -2.17 -0.78 -0.80  0.90  0.98  0.78  0.79  0.73  1.80 -0.43
27 20.32  0.953  0.011  0.026   3.20   2.24   3.17  -1.04   0.98  -1.06  -1.81 -0.68 -0.87  0.77  0.97  0.78  0.78  0.71  1.74 -0.40
28 22.86  0.969  0.013  0.012   2.34   1.76   2.37  -0.75   0.71  -0.77  -1.50 -0.59 -0.66  0.62  0.96  0.64  0.64  0.58  1.48 -0.30
29 25.40  0.984  0.012  0.000   1.42   1.25   1.38  -0.43   0.43  -0.43  -0.95 -0.38 -0.43  0.40  0.65  0.40  0.39  0.38  0.89 -0.21
30 27.94  0.993  0.011 -0.007   0.73   0.84   0.77  -0.23   0.24  -0.21  -0.44 -0.23 -0.19  0.22  0.44  0.24  0.20  0.23  0.45 -0.10
31 30.48  0.999  0.011 -0.012   0.34   0.52   0.35  -0.10   0.07  -0.08  -0.14 -0.09 -0.06  0.10  0.34  0.08  0.06  0.07  0.11 -0.03
32 33.02  1.000  0.010 -0.013   0.16   0.28   0.21  -0.03   0.03  -0.03  -0.02 -0.02 -0.01  0.04  0.09  0.03  0.01  0.02  0.04  0.00
33 35.56  1.000  0.011 -0.014   0.09   0.18   0.15  -0.01   0.01  -0.03   0.00 -0.01  0.00  0.01  0.05  0.01  0.01  0.01  0.02  0.00
34 38.10  1.000  0.011 -0.014   0.07   0.12   0.13   0.00   0.00  -0.02   0.00  0.00  0.01  0.00  0.01  0.00  0.00  0.00  0.01  0.00
35 50.80  1.001  0.013 -0.013   0.05   0.08   0.11   0.00   0.00  -0.01   0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.00
