#
#            Case A.S1       Station= 11
#            X= 304.8 mm      Tunnel Run#= 642   Ue/Uref=   0.989      Date= 428.88  Time=15.00
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
21  6.35  0.820  0.010  0.083   4.68   2.45   4.17  -1.27   0.38  -0.28  -0.46 -0.13  0.05  0.34  0.10  0.14 -0.05 -0.05 -0.12  0.08
22  7.11  0.831  0.010  0.084   4.44   2.41   4.02  -1.24   0.43  -0.40  -0.35 -0.04  0.03  0.23  0.08  0.17  0.05  0.00 -0.10  0.06
23  8.38  0.846  0.011  0.081   4.28   2.43   3.96  -1.21   0.45  -0.39  -0.32 -0.06  0.00  0.22  0.05  0.14  0.00 -0.03 -0.18  0.06
24 10.16  0.861  0.012  0.081   4.04   2.54   3.86  -1.14   0.62  -0.52  -0.23 -0.06 -0.02  0.19  0.08  0.10  0.03  0.06 -0.09  0.01
25 12.70  0.886  0.012  0.077   3.57   2.56   3.79  -0.93   0.78  -0.52  -0.27 -0.08 -0.09  0.14  0.15  0.09  0.02  0.06  0.01  0.00
26 15.24  0.902  0.013  0.071   3.44   2.55   3.76  -0.96   0.87  -0.55  -0.32 -0.09 -0.12  0.17  0.18  0.22  0.08  0.06  0.29  0.00
27 17.78  0.914  0.013  0.063   3.41   2.57   3.46  -1.03   0.90  -0.63  -0.47 -0.23 -0.08  0.24  0.38  0.24  0.13  0.22  0.36 -0.06
28 20.32  0.928  0.013  0.054   3.19   2.42   3.32  -0.97   0.89  -0.59  -0.63 -0.23 -0.21  0.26  0.50  0.30  0.16  0.29  0.64 -0.08
29 22.86  0.943  0.012  0.044   2.95   2.14   3.02  -0.92   0.88  -0.78  -0.87 -0.36 -0.33  0.38  0.58  0.37  0.27  0.37  0.90 -0.13
30 25.40  0.958  0.013  0.034   2.59   1.99   2.69  -0.82   0.81  -0.73  -0.99 -0.40 -0.41  0.45  0.61  0.46  0.39  0.44  1.12 -0.19
31 27.94  0.971  0.014  0.023   2.18   1.75   2.19  -0.72   0.66  -0.69  -1.02 -0.45 -0.50  0.43  0.68  0.48  0.45  0.43  1.03 -0.22
32 30.48  0.983  0.014  0.014   1.72   1.43   1.65  -0.48   0.51  -0.46  -0.94 -0.37 -0.39  0.39  0.57  0.42  0.37  0.38  0.83 -0.18
33 33.02  0.988  0.014  0.008   1.22   1.14   1.20  -0.41   0.37  -0.36  -0.69 -0.31 -0.29  0.36  0.47  0.32  0.29  0.30  0.63 -0.15
34 35.56  0.994  0.015  0.004   0.92   0.93   0.95  -0.29   0.27  -0.28  -0.52 -0.23 -0.25  0.26  0.43  0.26  0.24  0.22  0.54 -0.11
35 38.10  1.000  0.013 -0.002   0.40   0.51   0.42  -0.11   0.12  -0.10  -0.19 -0.10 -0.07  0.10  0.21  0.10  0.08  0.10  0.16 -0.04
36 40.64  1.002  0.013 -0.004   0.21   0.32   0.25  -0.04   0.04  -0.04  -0.03 -0.03 -0.01  0.05  0.12  0.04  0.02  0.03  0.04 -0.01
37 45.72  1.001  0.013 -0.004   0.09   0.15   0.14  -0.01   0.01  -0.02  -0.01 -0.01  0.00  0.01  0.03  0.01  0.00  0.00  0.00  0.00
38 50.80  0.997  0.013 -0.004   0.06   0.10   0.12   0.00   0.00  -0.02   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
