#
#            Case A.S1       Station=  8
#            X= 101.6 mm      Tunnel Run#= 639   Ue/Uref=   0.996      Date= 428.88  Time=12.26
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
11  2.03  0.730  0.008  0.119   6.45   2.77   6.57  -1.56   0.36  -1.01   0.10 -0.13  0.18  0.24  0.29  0.29 -0.04 -0.07 -0.24  0.17
12  2.29  0.741  0.007  0.118   6.58   2.72   6.54  -1.55   0.46  -1.05  -0.08 -0.18  0.07  0.33  0.33  0.15  0.07 -0.01 -0.29  0.01
13  2.54  0.751  0.008  0.117   6.22   2.83   6.59  -1.55   0.55  -1.15  -0.02 -0.24  0.06  0.39  0.31  0.31  0.09  0.01 -0.01  0.11
14  2.79  0.759  0.008  0.120   6.22   2.85   6.54  -1.54   0.61  -1.20   0.17 -0.22  0.04  0.38  0.16  0.20  0.10 -0.01  0.03  0.10
15  3.30  0.777  0.009  0.117   6.03   2.92   6.41  -1.38   0.78  -1.45   0.20 -0.19  0.03  0.33  0.10  0.24  0.10  0.09  0.02 -0.02
16  3.81  0.787  0.009  0.116   5.95   3.03   6.48  -1.40   0.83  -1.47   0.09 -0.18 -0.04  0.32  0.12  0.15  0.15  0.10 -0.03  0.02
17  4.32  0.799  0.010  0.116   5.72   3.13   6.28  -1.33   1.03  -1.44  -0.25 -0.17 -0.11  0.35  0.16  0.16  0.25  0.13  0.30  0.01
18  4.83  0.810  0.011  0.117   5.77   3.20   6.35  -1.35   1.10  -1.49  -0.14 -0.19 -0.04  0.35  0.11  0.20  0.30  0.18  0.36 -0.03
19  5.59  0.818  0.011  0.117   5.54   3.36   6.11  -1.23   1.26  -1.38   0.08 -0.08 -0.16  0.23  0.14  0.20  0.11  0.20  0.53 -0.04
20  6.35  0.826  0.011  0.117   5.31   3.55   6.16  -1.35   1.45  -1.55  -0.12 -0.12 -0.04  0.33  0.23  0.30  0.24  0.23  0.50 -0.14
21  7.11  0.833  0.012  0.112   5.35   3.69   6.14  -1.31   1.53  -1.42  -0.08 -0.06 -0.04  0.21  0.17  0.21  0.20  0.24  0.49 -0.06
22  8.38  0.841  0.014  0.111   5.45   3.90   6.05  -1.53   1.73  -1.53  -0.31 -0.09 -0.09  0.16  0.24  0.24  0.14  0.27  0.38 -0.09
23 10.16  0.854  0.015  0.104   5.43   4.03   6.03  -1.70   1.75  -1.58  -0.36 -0.27 -0.24  0.26  0.61  0.36  0.22  0.48  0.51 -0.16
24 12.70  0.874  0.016  0.092   5.47   3.87   5.78  -1.77   1.78  -1.45  -1.04 -0.43 -0.47  0.47  0.75  0.57  0.43  0.54  1.03 -0.33
25 15.24  0.890  0.017  0.078   5.25   3.62   5.35  -1.65   1.67  -1.43  -1.17 -0.48 -0.36  0.54  0.77  0.56  0.41  0.54  1.14 -0.26
26 17.78  0.907  0.019  0.066   4.71   3.32   4.84  -1.51   1.55  -1.36  -1.33 -0.60 -0.48  0.62  0.93  0.70  0.57  0.72  1.28 -0.35
27 20.32  0.936  0.015  0.044   3.97   2.70   4.03  -1.26   1.30  -1.29  -1.62 -0.67 -0.82  0.71  1.06  0.85  0.73  0.73  1.77 -0.42
28 22.86  0.955  0.012  0.024   2.98   2.05   2.85  -0.88   0.87  -0.98  -1.76 -0.60 -0.77  0.67  0.94  0.74  0.68  0.63  1.57 -0.33
29 25.40  0.970  0.012  0.012   2.11   1.57   2.07  -0.67   0.62  -0.75  -1.37 -0.51 -0.64  0.57  0.72  0.56  0.64  0.52  1.25 -0.30
30 27.94  0.981  0.013  0.002   1.32   1.14   1.27  -0.44   0.36  -0.42  -0.87 -0.39 -0.39  0.41  0.59  0.35  0.38  0.31  0.76 -0.19
31 30.48  0.992  0.012 -0.005   0.72   0.73   0.71  -0.21   0.19  -0.20  -0.45 -0.18 -0.21  0.21  0.32  0.20  0.21  0.17  0.41 -0.10
32 33.02  0.997  0.012 -0.008   0.34   0.43   0.38  -0.08   0.07  -0.07  -0.14 -0.06 -0.06  0.08  0.15  0.09  0.05  0.05  0.13 -0.02
33 35.56  1.002  0.012 -0.010   0.18   0.30   0.22  -0.04   0.04  -0.03  -0.04 -0.04 -0.02  0.04  0.12  0.04  0.02  0.02  0.04 -0.01
34 38.10  1.000  0.012 -0.010   0.10   0.17   0.15   0.00   0.01  -0.02   0.00  0.00  0.00  0.01  0.03  0.01  0.00  0.00  0.01  0.00
35 40.64  0.998  0.012 -0.010   0.08   0.13   0.13   0.00   0.01  -0.02   0.00  0.00  0.00  0.00  0.02  0.02  0.00  0.01  0.02  0.00
36 50.80  1.002  0.013 -0.010   0.05   0.08   0.11   0.00   0.00  -0.02   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
