#
#            Case A.S1       Station=  6
#            X=  25.4 mm      Tunnel Run#= 637   Ue/Uref=   0.999      Date= 428.88  Time=10.45
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
23 10.16  0.854  0.014  0.102   6.54   4.39   6.64  -2.14   2.20  -1.98  -1.61 -0.62 -0.64  0.76  0.95  0.75  0.74  0.64  1.54 -0.41
24 12.70  0.881  0.011  0.083   5.79   3.88   5.93  -1.87   1.87  -1.67  -1.63 -0.61 -0.62  0.56  1.05  0.75  0.68  0.72  1.54 -0.38
25 15.24  0.903  0.014  0.065   4.91   3.39   5.13  -1.47   1.61  -1.38  -1.43 -0.60 -0.64  0.59  1.11  0.70  0.54  0.77  1.63 -0.35
26 17.78  0.927  0.014  0.049   4.41   2.97   4.58  -1.41   1.43  -1.37  -1.89 -0.73 -0.80  0.82  1.03  0.73  0.77  0.73  1.83 -0.42
27 20.32  0.945  0.014  0.031   3.56   2.41   3.46  -1.17   1.11  -1.26  -1.87 -0.70 -0.89  0.85  0.93  0.82  0.92  0.70  1.78 -0.45
28 22.86  0.965  0.014  0.014   2.57   1.92   2.47  -0.88   0.77  -0.85  -1.67 -0.65 -0.74  0.75  0.97  0.71  0.68  0.62  1.50 -0.33
29 25.40  0.986  0.009 -0.002   1.28   1.12   1.32  -0.41   0.44  -0.44  -0.88 -0.36 -0.47  0.40  0.58  0.47  0.45  0.42  0.92 -0.25
30 27.94  0.992  0.009 -0.009   0.62   0.71   0.70  -0.18   0.20  -0.21  -0.36 -0.16 -0.19  0.19  0.31  0.21  0.20  0.16  0.38 -0.09
31 30.48  0.997  0.010 -0.013   0.29   0.42   0.32  -0.10   0.06  -0.07  -0.11 -0.08 -0.04  0.08  0.17  0.06  0.04  0.06  0.11 -0.02
32 33.02  1.000  0.011 -0.013   0.15   0.27   0.21  -0.04   0.03  -0.04  -0.03 -0.04 -0.01  0.03  0.08  0.03  0.02  0.03  0.04 -0.01
33 35.56  1.002  0.011 -0.015   0.09   0.18   0.14  -0.01   0.02  -0.02   0.00 -0.01  0.00  0.01  0.05  0.01  0.00  0.01  0.00  0.00
34 38.10  1.002  0.012 -0.015   0.07   0.12   0.13   0.00   0.00  -0.02   0.00  0.00  0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00
35 50.80  1.000  0.014 -0.014   0.05   0.08   0.10   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
