# Driver and Seegmiller backstep, roof angles 0 and 6 deg.
# AIAA J. vol. 23, pp. 163-171, 1985
  6 17
             TABLE C. 5           CASE R.ST0      Station=  1
             X/H=  -4.0      Tunnel Run#=  57   Ue/Uref=   1.000      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           18  1.50  0.845 -0.086  2.71  1.61  -0.60  -0.28 -0.11  0.15  0.18
           19  1.70  0.880 -0.082  2.13  1.25  -0.43  -0.26 -0.07  0.12  0.10
           20  2.00  0.926 -0.076  1.42  0.83  -0.24  -0.27 -0.07  0.08  0.06
           21  2.40  0.965 -0.068  0.62  0.44  -0.01  -0.04  0.00  0.03  0.02
           22  2.80  0.973 -0.060  0.43  0.33   0.03   0.02  0.02  0.01  0.01
           23  3.20  0.972 -0.054  0.40  0.29   0.03   0.02  0.02  0.00  0.00
           24  3.60  0.973 -0.050  0.41  0.30   0.05   0.03  0.02  0.01  0.01
           25  4.00  0.974 -0.046  0.39  0.29   0.04   0.03  0.02  0.01  0.01
           26  5.00  0.974 -0.040  0.39  0.28   0.04   0.03  0.02  0.00  0.00
           27  6.00  0.975 -0.034  0.39  0.28   0.03   0.02  0.01  0.00  0.00
           28  7.50  0.975 -0.026  0.40  0.32   0.04   0.02  0.02  0.00  0.00
           29  8.20  0.880 -0.018  2.71  1.91   0.73  -0.55 -0.25 -0.22 -0.22

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 12
             X/H=   5.5      Tunnel Run#=  46   Ue/Uref=   0.970      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.053 -0.044 21.66 13.38  -5.73   7.26  3.05 -2.43 -3.76
            3  0.15  0.064 -0.050 21.88 15.15  -6.61   4.23  1.61 -1.14 -1.83
            4  0.20  0.100 -0.062 23.64 17.42  -7.97  -0.66  0.03  0.68 -1.19
            5  0.30  0.178 -0.081 25.45 18.91 -10.01  -8.50 -4.67  4.85  4.34
            6  0.40  0.254 -0.095 23.50 17.38  -8.93 -11.54 -7.64  7.08  6.79
            7  0.50  0.327 -0.103 20.28 15.32  -7.65  -9.03 -6.80  6.02  6.27
            8  0.60  0.406 -0.104 18.67 13.37  -7.32  -7.61 -6.74  6.47  7.05
            9  0.70  0.485 -0.104 16.68 11.04  -5.44  -6.71 -4.66  4.26  4.65
           10  0.80  0.560 -0.101 14.48  8.80  -4.55  -7.36 -3.90  3.95  3.85
           11  0.90  0.626 -0.097 11.49  6.91  -3.35  -6.62 -2.94  2.78  2.66
           12  1.00  0.684 -0.092  7.44  5.15  -2.07  -3.40 -1.66  1.54  1.57
           13  1.10  0.732 -0.089  5.10  3.66  -1.36  -1.58 -0.79  0.80  0.82
           14  1.15  0.748 -0.089  4.45  3.18  -1.10  -1.11 -0.53  0.57  0.58
           15  1.20  0.765 -0.089  3.79  2.70  -0.85  -0.63 -0.28  0.34  0.34
           16  1.30  0.792 -0.085  2.99  2.28  -0.65  -0.29 -0.13  0.17  0.24
           17  1.40  0.816 -0.084  2.71  1.99  -0.58  -0.24 -0.11  0.09  0.16
           18  1.50  0.836 -0.081  2.40  1.72  -0.51  -0.22 -0.11  0.14  0.15
           19  1.70  0.872 -0.079  1.96  1.30  -0.35  -0.27 -0.11  0.09  0.10
           20  2.00  0.918 -0.074  1.31  0.83  -0.12  -0.22 -0.07  0.07  0.06
           21  2.40  0.957 -0.066  0.55  0.42   0.07  -0.05 -0.02  0.01  0.01
           22  2.80  0.965 -0.058  0.36  0.29   0.10   0.01  0.00  0.00  0.00
           23  3.20  0.966 -0.052  0.35  0.27   0.11   0.01  0.00  0.00  0.00
           24  3.60  0.968 -0.049  0.35  0.26   0.11   0.01  0.00  0.00  0.00
           25  4.00  0.969 -0.044  0.34  0.25   0.10   0.01  0.00  0.00  0.00
           26  5.00  0.969 -0.038  0.35  0.26   0.11   0.00  0.00 -0.01  0.00
           27  6.00  0.970 -0.032  0.36  0.26   0.12   0.00  0.00 -0.01  0.00
           28  7.50  0.971 -0.025  0.36  0.29   0.11   0.01  0.00  0.00  0.00
           29  8.20  0.874 -0.016  2.73  1.75   0.79  -0.57 -0.25 -0.24 -0.18

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 13
             X/H=   6.0      Tunnel Run#=  45   Ue/Uref=   0.965      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.147 -0.052 17.58 12.81 -4.10   0.03  0.65 -0.11 -2.05
            3  0.15  0.169 -0.061 19.50 15.02 -5.48   0.04  0.24  0.11 -1.31
            4  0.20  0.188 -0.067 19.53 16.50 -6.79  -2.21 -1.70  1.31  0.58
            5  0.30  0.248 -0.084 20.73 16.98 -7.86  -5.45 -4.28  3.36  3.25
            6  0.40  0.306 -0.091 19.70 16.60 -8.23  -6.80 -5.78  4.97  5.60
            7  0.50  0.369 -0.097 20.03 15.89 -8.24  -9.08 -7.74  7.14  6.87
            8  0.60  0.435 -0.099 18.36 13.86 -7.36  -8.93 -6.86  6.50  6.48
            9  0.70  0.501 -0.095 17.26 12.00 -6.57 -10.43 -7.51  7.32  7.26
           10  0.80  0.569 -0.094 14.96  9.63 -5.06 -10.37 -5.91  6.20  5.55
           11  0.90  0.632 -0.091 11.96  7.62 -3.79 -10.19 -4.74  5.11  4.09
           12  1.00  0.686 -0.089  8.88  5.57 -2.80  -7.74 -3.45  3.55  2.93
           13  1.10  0.730 -0.086  6.11  3.95 -1.76  -3.81 -1.72  1.93  1.87
           14  1.15  0.747 -0.086  5.23  3.35 -1.51  -2.68 -1.23  1.39  1.33
           15  1.20  0.763 -0.085  4.36  2.75 -1.25  -1.54 -0.74  0.84  0.79
           16  1.30  0.794 -0.083  3.40  2.19 -0.80  -0.47 -0.23  0.25  0.44
           17  1.40  0.815 -0.082  2.87  1.79 -0.65  -0.33 -0.12  0.20  0.25
           18  1.50  0.834 -0.081  2.50  1.53 -0.61  -0.29 -0.10  0.14  0.14
           19  1.70  0.869 -0.077  2.01  1.24 -0.43  -0.27 -0.10  0.13  0.13
           20  2.00  0.915 -0.074  1.28  0.80 -0.21  -0.22 -0.06  0.08  0.04
           21  2.40  0.949 -0.066  0.53  0.44 -0.04  -0.01  0.00  0.01  0.02
           22  2.80  0.954 -0.060  0.42  0.33  0.03   0.02  0.02  0.00  0.00
           23  3.20  0.956 -0.054  0.41  0.33  0.03   0.02  0.02  0.01  0.00
           24  3.60  0.959 -0.050  0.39  0.31  0.03   0.03  0.02  0.00  0.00
           25  4.00  0.961 -0.046  0.38  0.29  0.02   0.03  0.02  0.00  0.01
           26  5.00  0.963 -0.040  0.38  0.30  0.02   0.02  0.02  0.00  0.00
           27  6.00  0.965 -0.035  0.38  0.31  0.02   0.02  0.02  0.00 -0.01
           28  7.50  0.969 -0.027  0.42  0.34  0.03   0.02  0.01  0.00  0.00
           29  8.20  0.870 -0.018  2.75  1.84  0.76  -0.55 -0.20 -0.20 -0.11

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 14
             X/H=   6.5      Tunnel Run#=  44   Ue/Uref=   0.963      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.188 -0.046 14.88 11.39 -2.82   2.57  1.11 -0.62 -1.64
            3  0.15  0.198 -0.044 15.25 12.71 -3.68   1.74  1.25 -0.87 -1.47
            4  0.20  0.220 -0.052 16.31 14.18 -5.32   1.67  0.72 -1.38 -1.10
            5  0.30  0.268 -0.065 18.13 16.27 -7.36  -1.45 -1.21  1.33  0.87
            6  0.40  0.321 -0.074 19.25 16.52 -8.20  -2.93 -3.82  3.11  3.29
            7  0.50  0.379 -0.080 19.57 15.60 -8.35  -7.49 -5.89  5.82  5.53
            8  0.60  0.440 -0.083 18.18 14.15 -7.54  -8.46 -6.93  6.72  6.57
            9  0.70  0.504 -0.083 16.87 12.63 -6.71 -10.65 -7.63  7.24  7.95
           10  0.80  0.570 -0.083 14.28 10.54 -5.28 -10.70 -7.48  7.30  6.78
           11  0.90  0.630 -0.081 12.56  7.19 -3.85 -12.22 -5.27  5.66  5.33
           12  1.00  0.682 -0.080  9.41  5.52 -2.82  -9.11 -3.93  4.29  4.36
           13  1.10  0.726 -0.079  6.11  3.75 -1.79  -4.17 -1.87  1.82  1.92
           14  1.15  0.743 -0.078  5.16  3.21 -1.40  -2.60 -1.13  1.15  1.35
           15  1.20  0.761 -0.077  4.21  2.67 -1.02  -1.03 -0.40  0.48  0.79
           16  1.30  0.787 -0.076  3.34  2.04 -0.74  -0.45 -0.15  0.28  0.39
           17  1.40  0.811 -0.075  2.84  1.65 -0.56  -0.37 -0.12  0.21  0.24
           18  1.50  0.831 -0.073  2.46  1.42 -0.54  -0.37 -0.12  0.18  0.20
           19  1.70  0.865 -0.071  1.92  1.09 -0.34  -0.26 -0.06  0.13  0.13
           20  2.00  0.908 -0.067  1.18  0.67 -0.14  -0.21 -0.05  0.07  0.07
           21  2.40  0.941 -0.061  0.53  0.38  0.03  -0.02  0.00  0.03  0.03
           22  2.80  0.949 -0.056  0.37  0.27  0.07   0.02  0.02  0.01  0.01
           23  3.20  0.952 -0.051  0.35  0.24  0.06   0.02  0.01  0.01  0.01
           24  3.60  0.955 -0.048  0.36  0.24  0.07   0.03  0.02  0.01  0.01
           25  4.00  0.956 -0.045  0.34  0.23  0.06   0.02  0.02  0.01  0.01
           26  5.00  0.960 -0.039  0.33  0.23  0.06   0.02  0.01  0.01  0.01
           27  6.00  0.963 -0.033  0.33  0.22  0.06   0.02  0.01  0.01  0.01
           28  7.50  0.963 -0.027  0.41  0.31  0.09   0.00  0.01  0.00  0.01
           29  8.20  0.864 -0.017  2.65  1.83  0.74  -0.52 -0.25 -0.21 -0.17

  6 27
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 15
             X/H=   7.0      Tunnel Run#=  43   Ue/Uref=   0.965      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.251 -0.040 13.24  9.95 -2.40   1.85  0.80 -0.73 -1.40
            3  0.15  0.253 -0.042 13.98 11.21 -3.65   3.00  1.10 -0.52 -1.79
            4  0.20  0.274 -0.050 14.99 12.69 -4.77   1.34  0.43 -0.20 -1.71
            5  0.30  0.315 -0.061 17.40 14.39 -6.88  -0.45 -1.48  0.66  1.29
            6  0.40  0.362 -0.069 17.72 14.58 -7.43  -2.50 -3.01  2.31  2.90
            7  0.50  0.418 -0.075 18.28 13.64 -7.36  -4.74 -4.69  4.50  4.99
            8  0.60  0.473 -0.079 17.93 12.45 -6.83  -8.46 -5.89  5.83  6.06
            9  0.70  0.529 -0.079 16.41 10.77 -6.03 -11.32 -6.52  6.80  6.40
           10  0.80  0.585 -0.078 14.81  9.36 -5.23 -12.53 -7.10  7.00  6.36
           11  0.90  0.639 -0.076 11.81  7.27 -3.72 -11.37 -5.09  5.08  4.59
           12  1.00  0.688 -0.073  9.00  5.49 -2.72  -8.20 -3.09  3.40  3.00
           13  1.10  0.729 -0.074  6.24  4.06 -1.92  -4.68 -2.09  2.24  2.01
           14  1.15  0.744 -0.072  5.44  3.58 -1.61  -3.47 -1.60  1.76  1.68
           15  1.20  0.760 -0.070  4.64  3.10 -1.31  -2.27 -1.11  1.28  1.35
           16  1.30  0.788 -0.071  3.33  2.28 -0.84  -0.53 -0.30  0.30  0.51
           17  1.40  0.809 -0.068  2.94  1.99 -0.65  -0.48 -0.18  0.27  0.40
           18  1.50  0.831 -0.068  2.47  1.65 -0.46  -0.29 -0.10  0.18  0.26
           19  1.70  0.867 -0.068  1.90  1.21 -0.28  -0.26 -0.10  0.12  0.17
           20  2.00  0.910 -0.065  1.20  0.76 -0.10  -0.18 -0.07  0.09  0.08
           21  2.40  0.942 -0.059  0.57  0.45  0.11  -0.02  0.00  0.02  0.02
           22  2.80  0.950 -0.055  0.44  0.35  0.14   0.02  0.02  0.01  0.01
           23  3.20  0.953 -0.051  0.43  0.32  0.13   0.01  0.01  0.00  0.01
           24  3.60  0.956 -0.048  0.41  0.31  0.12   0.02  0.01  0.01  0.01
           25  4.00  0.958 -0.045  0.43  0.32  0.14   0.04  0.03  0.02  0.03
           26  5.00  0.962 -0.039  0.43  0.31  0.13   0.03  0.02  0.02  0.02
           27  6.00  0.965 -0.035  0.45  0.34  0.16   0.03  0.03  0.02  0.03
           28  7.50  0.966 -0.028  0.46  0.38  0.15   0.00  0.01  0.00  0.01

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 16
             X/H=   8.0      Tunnel Run#=  42   Ue/Uref=   0.958      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.313 -0.037 11.88  8.23 -2.44   3.71  1.18 -0.65 -1.21
            3  0.15  0.327 -0.039 12.95  9.26 -3.32   2.69  1.10 -0.53 -2.02
            4  0.20  0.340 -0.044 13.58 10.46 -4.33   3.17  0.96 -0.71 -1.47
            5  0.30  0.377 -0.053 15.08 12.21 -5.72   1.95 -0.28  0.28  0.81
            6  0.40  0.415 -0.062 16.22 12.53 -6.57  -1.09 -2.20  2.18  1.92
            7  0.50  0.459 -0.068 16.29 12.25 -6.53  -4.08 -3.91  3.60  3.85
            8  0.60  0.511 -0.071 16.81 11.05 -6.26  -8.26 -5.36  5.20  4.94
            9  0.70  0.558 -0.072 15.51  9.46 -5.57 -10.11 -5.62  5.56  5.28
           10  0.80  0.609 -0.068 13.99  8.34 -4.75 -12.26 -5.93  6.24  5.53
           11  0.90  0.657 -0.067 11.54  6.60 -3.97 -11.87 -5.33  5.58  4.56
           12  1.00  0.695 -0.064  8.61  5.19 -2.80  -7.89 -3.55  3.64  3.15
           13  1.10  0.731 -0.062  6.80  4.06 -2.03  -6.13 -2.46  2.65  2.32
           14  1.15  0.748 -0.062  5.63  3.48 -1.65  -4.30 -1.73  1.93  1.82
           15  1.20  0.764 -0.063  4.47  2.89 -1.27  -2.47 -1.00  1.20  1.32
           16  1.30  0.791 -0.062  3.42  2.17 -0.90  -0.74 -0.31  0.38  0.53
           17  1.40  0.813 -0.060  2.72  1.78 -0.64  -0.43 -0.18  0.25  0.36
           18  1.50  0.832 -0.060  2.35  1.49 -0.49  -0.33 -0.13  0.18  0.25
           19  1.70  0.868 -0.058  1.78  1.07 -0.33  -0.29 -0.09  0.12  0.12
           20  2.00  0.909 -0.057  1.03  0.65 -0.09  -0.17 -0.04  0.08  0.08
           21  2.40  0.935 -0.052  0.49  0.37  0.05   0.01  0.01  0.02  0.03
           22  2.80  0.943 -0.048  0.36  0.27  0.08   0.02  0.01  0.01  0.01
           23  3.20  0.946 -0.047  0.34  0.25  0.06   0.02  0.02  0.01  0.02
           24  3.60  0.949 -0.043  0.32  0.23  0.06   0.02  0.02  0.01  0.01
           25  4.00  0.950 -0.042  0.32  0.22  0.06   0.02  0.02  0.01  0.02
           26  5.00  0.954 -0.038  0.33  0.23  0.07   0.02  0.02  0.01  0.02
           27  6.00  0.958 -0.034  0.33  0.24  0.08   0.02  0.02  0.02  0.02
           28  7.50  0.959 -0.028  0.39  0.31  0.10   0.01  0.01  0.01  0.01
           29  8.20  0.855 -0.019  2.79  1.97  0.79  -0.46 -0.25 -0.17 -0.16

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 17
             X/H=  10.0      Tunnel Run#=  41   Ue/Uref=   0.947      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.418 -0.029  8.89  5.63 -1.43   2.05  0.73 -0.34 -0.46
            3  0.15  0.433 -0.027  9.97  6.15 -1.84   2.59  0.74 -0.35 -1.10
            4  0.20  0.447 -0.032 10.51  6.97 -2.35   2.19  0.83 -0.25 -0.99
            5  0.30  0.471 -0.036 11.57  8.34 -3.43   1.23  0.55 -0.24 -0.37
            6  0.40  0.496 -0.041 12.24  9.08 -4.19   0.67 -0.37  0.07  0.46
            7  0.50  0.526 -0.043 12.86  9.16 -4.51  -1.12 -1.29  0.99  1.47
            8  0.60  0.560 -0.045 13.37  9.05 -4.61  -3.54 -2.59  2.08  2.43
            9  0.70  0.596 -0.047 13.03  8.44 -4.61  -5.62 -3.18  3.10  3.00
           10  0.80  0.638 -0.047 12.00  7.75 -4.30  -7.23 -4.00  3.65  3.93
           11  0.90  0.676 -0.046 10.96  6.44 -3.68  -8.76 -3.81  3.96  3.37
           12  1.00  0.712 -0.047  9.04  5.35 -2.94  -8.54 -3.51  3.72  2.94
           13  1.10  0.745 -0.046  7.23  4.32 -2.33  -6.66 -2.57  2.72  2.36
           14  1.15  0.758 -0.045  6.44  3.92 -2.02  -5.85 -2.28  2.36  2.02
           15  1.20  0.772 -0.044  5.66  3.52 -1.71  -5.04 -2.00  2.01  1.68
           16  1.30  0.798 -0.042  4.22  2.80 -1.36  -2.94 -1.28  1.48  1.38
           17  1.40  0.819 -0.040  3.29  2.21 -0.96  -1.61 -0.81  0.80  0.96
           18  1.50  0.839 -0.039  2.54  1.80 -0.72  -0.83 -0.53  0.51  0.65
           19  1.70  0.871 -0.038  1.60  1.03 -0.35  -0.28 -0.09  0.11  0.15
           20  2.00  0.908 -0.034  0.96  0.66 -0.14  -0.13 -0.03  0.08  0.09
           21  2.40  0.929 -0.032  0.43  0.35  0.02   0.02  0.02  0.02  0.03
           22  2.80  0.933 -0.031  0.35  0.27  0.04   0.03  0.02  0.01  0.02
           23  3.20  0.937 -0.032  0.33  0.25  0.04   0.04  0.03  0.02  0.03
           24  3.60  0.939 -0.030  0.32  0.24  0.04   0.04  0.03  0.02  0.02
           25  4.00  0.940 -0.031  0.31  0.22  0.02   0.05  0.02  0.01  0.01
           26  5.00  0.944 -0.029  0.30  0.22  0.03   0.04  0.02  0.01  0.01
           27  6.00  0.947 -0.028  0.30  0.23  0.03   0.03  0.02  0.01  0.02
           28  7.50  0.949 -0.024  0.38  0.32  0.05   0.00  0.01  0.01  0.01
           29  8.20  0.827 -0.019  3.14  2.18  0.95  -0.49 -0.25 -0.20 -0.16

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 18
             X/H=  12.0      Tunnel Run#=  40   Ue/Uref=   0.949      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.461 -0.015  7.71  5.97 -0.97   1.41  0.62  0.02 -0.38
            3  0.15  0.475 -0.014  8.59  5.38 -1.33   1.93  0.74 -0.10 -0.40
            4  0.20  0.488 -0.015  9.17  5.93 -1.90   1.56  0.73 -0.35 -0.47
            5  0.30  0.511 -0.019 10.07  7.45 -2.73   1.42  0.58 -0.22 -0.30
            6  0.40  0.537 -0.021 10.76  8.20 -3.16   0.48  0.02  0.07  0.19
            7  0.50  0.563 -0.027 11.28  8.70 -3.71  -0.34 -0.75  0.56  0.96
            8  0.60  0.594 -0.027 11.46  9.11 -3.98  -2.16 -1.56  1.30  1.89
            9  0.70  0.625 -0.028 11.54  8.46 -4.18  -3.84 -2.77  2.46  2.37
           10  0.80  0.657 -0.027 11.04  7.94 -3.89  -5.00 -3.07  2.56  2.76
           11  0.90  0.691 -0.027  9.70  7.82 -3.59  -6.10 -4.15  3.26  3.27
           12  1.00  0.721 -0.025  8.29  6.89 -3.08  -5.66 -3.89  3.24  3.13
           13  1.10  0.748 -0.026  8.61  4.69 -2.78  -8.32 -3.07  3.50  2.88
           14  1.15  0.763 -0.025  7.75  4.30 -2.53  -7.52 -2.86  3.29  2.64
           15  1.20  0.779 -0.025  6.89  3.91 -2.27  -6.73 -2.66  3.09  2.40
           16  1.30  0.804 -0.025  5.44  3.19 -1.69  -5.27 -1.94  2.06  1.77
           17  1.40  0.826 -0.021  4.36  2.69 -1.49  -3.63 -1.60  1.85  1.58
           18  1.50  0.845 -0.021  3.14  2.10 -1.03  -1.85 -0.96  1.10  1.14
           19  1.70  0.878 -0.020  1.82  1.23 -0.42  -0.41 -0.17  0.21  0.26
           20  2.00  0.913 -0.018  0.97  0.69 -0.15  -0.15 -0.05  0.08  0.11
           21  2.40  0.935 -0.017  0.47  0.39  0.03   0.01  0.02  0.02  0.04
           22  2.80  0.939 -0.016  0.39  0.28  0.06   0.03  0.02  0.02  0.02
           23  3.20  0.941 -0.017  0.36  0.25  0.05   0.03  0.02  0.01  0.02
           24  3.60  0.943 -0.017  0.36  0.24  0.06   0.03  0.02  0.02  0.02
           25  4.00  0.944 -0.018  0.35  0.23  0.05   0.03  0.02  0.01  0.02
           26  5.00  0.947 -0.018  0.35  0.24  0.05   0.02  0.02  0.01  0.01
           27  6.00  0.949 -0.018  0.36  0.24  0.06   0.02  0.02  0.01  0.01
           28  7.50  0.947 -0.015  0.50  0.36  0.09  -0.04  0.00  0.00  0.00
           29  8.20  0.825 -0.007  3.19  2.11  0.89  -0.62 -0.24 -0.22 -0.15

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 19
             X/H=  14.0      Tunnel Run#=  39   Ue/Uref=   0.951      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.505 -0.014  7.47  4.12 -0.94   1.54  0.35  0.04 -0.16
            3  0.15  0.511 -0.015  8.00  5.67 -0.90   1.28  0.47 -0.08 -0.31
            4  0.20  0.529 -0.013  8.64  5.19 -1.35   1.35  0.52 -0.18 -0.33
            5  0.30  0.553 -0.014  9.13  6.13 -1.85   0.96  0.44 -0.21 -0.44
            6  0.40  0.570 -0.016  9.76  6.50 -2.54   1.06  0.20 -0.09  0.06
            7  0.50  0.593 -0.021 10.23  6.79 -2.89   0.04 -0.07  0.05  0.36
            8  0.60  0.618 -0.020 10.94  6.82 -3.36  -1.41 -0.81  0.68  0.90
            9  0.70  0.643 -0.021 10.92  6.90 -3.48  -2.94 -1.36  1.10  1.46
           10  0.80  0.671 -0.023 11.12  6.50 -3.53  -4.31 -1.97  1.74  2.08
           11  0.90  0.700 -0.023 10.34  5.85 -3.31  -4.82 -2.19  1.90  2.26
           12  1.00  0.726 -0.022  9.77  5.47 -3.28  -6.53 -2.56  2.54  2.72
           13  1.10  0.754 -0.021  8.71  4.81 -2.76  -6.67 -2.55  2.55  2.33
           14  1.15  0.768 -0.021  8.13  4.37 -2.57  -6.77 -2.44  2.63  2.22
           15  1.20  0.783 -0.021  7.54  3.93 -2.38  -6.88 -2.32  2.70  2.10
           16  1.30  0.809 -0.021  6.10  3.46 -1.84  -5.21 -2.03  2.18  1.85
           17  1.40  0.831 -0.019  5.08  2.92 -1.52  -4.95 -1.59  1.87  1.51
           18  1.50  0.851 -0.018  3.88  2.28 -1.14  -3.32 -1.17  1.38  1.22
           19  1.70  0.885 -0.017  2.08  1.43 -0.52  -0.91 -0.40  0.42  0.46
           20  2.00  0.919 -0.014  0.98  0.74 -0.14  -0.12 -0.04  0.09  0.08
           21  2.40  0.938 -0.012  0.50  0.41  0.04   0.02  0.01  0.02  0.03
           22  2.80  0.941 -0.011  0.42  0.31  0.06   0.02  0.02  0.01  0.02
           23  3.20  0.943 -0.012  0.38  0.27  0.06   0.02  0.02  0.01  0.02
           24  3.60  0.944 -0.012  0.36  0.25  0.06   0.02  0.02  0.01  0.01
           25  4.00  0.945 -0.014  0.38  0.26  0.05   0.03  0.02  0.01  0.01
           26  5.00  0.948 -0.013  0.35  0.27  0.05   0.03  0.02  0.01  0.01
           27  6.00  0.951 -0.012  0.33  0.28  0.04   0.04  0.02  0.01  0.02
           28  7.50  0.946 -0.012  0.65  0.49  0.17  -0.05 -0.01  0.00  0.01
           29  8.20  0.824 -0.005  3.31  2.33  0.99  -0.42 -0.24 -0.21 -0.09

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 20
             X/H=  16.0      Tunnel Run#=  38   Ue/Uref=   0.941      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.517 -0.011  6.71  3.74 -0.91   1.16  0.29  0.02 -0.02
            3  0.15  0.538 -0.011  7.37  3.74 -1.03   1.19  0.34  0.00 -0.12
            4  0.20  0.547 -0.010  7.52  4.27 -1.31   0.94  0.38 -0.14 -0.47
            5  0.30  0.570 -0.012  8.15  4.98 -1.71   1.07  0.33 -0.10 -0.37
            6  0.40  0.590 -0.015  8.56  5.52 -2.18   0.80  0.21 -0.10 -0.24
            7  0.50  0.610 -0.016  9.01  5.93 -2.53  -0.36 -0.11  0.17  0.25
            8  0.60  0.631 -0.016  9.51  6.24 -2.85  -0.66 -0.52  0.28  0.73
            9  0.70  0.654 -0.019  9.68  5.96 -2.93  -1.87 -0.93  0.78  1.15
           10  0.80  0.674 -0.017  9.66  6.05 -3.15  -2.49 -1.36  1.19  1.28
           11  0.90  0.699 -0.018  9.53  5.68 -3.08  -3.78 -1.72  1.65  1.80
           12  1.00  0.722 -0.019  8.73  5.17 -2.66  -4.30 -1.95  1.66  1.70
           13  1.10  0.747 -0.018  8.52  4.66 -2.71  -5.70 -2.09  2.26  1.77
           14  1.15  0.758 -0.017  8.14  4.46 -2.57  -5.72 -2.15  2.23  1.87
           15  1.20  0.769 -0.016  7.75  4.27 -2.42  -5.74 -2.22  2.20  1.97
           16  1.30  0.796 -0.017  6.30  3.62 -1.94  -5.05 -1.94  1.99  1.62
           17  1.40  0.817 -0.015  5.47  3.20 -1.69  -4.62 -1.85  1.86  1.65
           18  1.50  0.838 -0.015  4.29  2.58 -1.29  -3.36 -1.32  1.34  1.15
           19  1.70  0.874 -0.013  2.59  1.65 -0.68  -1.55 -0.53  0.59  0.58
           20  2.00  0.911 -0.011  1.16  0.87 -0.25  -0.29 -0.12  0.16  0.17
           21  2.40  0.932 -0.008  0.53  0.47  0.01   0.04  0.02  0.03  0.05
           22  2.80  0.935 -0.007  0.43  0.34  0.04   0.04  0.02  0.01  0.02
           23  3.20  0.936 -0.008  0.39  0.28  0.05   0.04  0.02  0.01  0.02
           24  3.60  0.937 -0.008  0.34  0.25  0.04   0.03  0.02  0.01  0.02
           25  4.00  0.938 -0.010  0.33  0.23  0.03   0.03  0.02  0.01  0.01
           26  5.00  0.939 -0.011  0.32  0.23  0.04   0.03  0.02  0.01  0.01
           27  6.00  0.941 -0.011  0.31  0.22  0.05   0.03  0.02  0.01  0.02
           28  7.50  0.933 -0.011  0.59  0.41  0.08  -0.09 -0.02 -0.02 -0.01
